date,description,merchant,amount,category
2026-01-01,RENT PAYMENT,Oak Street Apartments,-1850.00,Rent
2026-01-02,PLANET FITNESS EFT,Planet Fitness,-24.99,Subscriptions
2026-01-03,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-01-04,CHIPOTLE ONLINE,Chipotle,-14.85,Dining
2026-01-05,NETFLIX.COM,Netflix,-15.49,Subscriptions
2026-01-05,TRADER JOES,Trader Joes,-78.42,Groceries
2026-01-06,STARBUCKS STORE,Starbucks,-4.95,Coffee
2026-01-07,SHELL OIL,Shell,-48.75,Transportation
2026-01-08,SPOTIFY USA,Spotify,-10.99,Subscriptions
2026-01-08,AMAZON MARKETPLACE,Amazon,-34.99,Shopping
2026-01-09,STARBUCKS STORE,Starbucks,-5.75,Coffee
2026-01-10,AMC THEATRES,AMC Theatres,-28.50,Entertainment
2026-01-11,DOORDASH*THAI KITCHEN,DoorDash,-32.40,Dining
2026-01-12,PG&E ELECTRIC,PG&E,-98.50,Utilities
2026-01-12,SAFEWAY GROCERY,Safeway,-92.15,Groceries
2026-01-13,STARBUCKS STORE,Starbucks,-6.25,Coffee
2026-01-14,UBER TRIP,Uber,-18.40,Transportation
2026-01-14,CVS PHARMACY,CVS Pharmacy,-24.50,Health
2026-01-15,TARGET STORE,Target,-67.42,Shopping
2026-01-16,STARBUCKS STORE,Starbucks,-5.50,Coffee
2026-01-17,DIRECT DEPOSIT PAYROLL,Northwind Analytics,1750.00,Income
2026-01-17,SUPERCUTS,Supercuts,-28.00,Personal Care
2026-01-18,UBER EATS,Uber Eats,-28.75,Dining
2026-01-19,TRADER JOES,Trader Joes,-65.30,Groceries
2026-01-20,STARBUCKS STORE,Starbucks,-4.85,Coffee
2026-01-21,BART CLIPPER,BART,-12.00,Transportation
2026-01-22,AMAZON MARKETPLACE,Amazon,-89.50,Shopping
2026-01-23,STARBUCKS STORE,Starbucks,-5.25,Coffee
2026-01-24,STEAM PURCHASE,Steam,-19.99,Entertainment
2026-01-25,PANERA BREAD,Panera Bread,-16.20,Dining
2026-01-26,COSTCO WHOLESALE,Costco,-124.88,Groceries
2026-01-27,STARBUCKS STORE,Starbucks,-6.10,Coffee
2026-01-28,SHELL OIL,Shell,-52.10,Transportation
